disctrictname,pinyin
海淀,Haidian
朝阳,Chaoyang
东城,Dongcheng
西城,Xicheng
石景山,Shijingshan
丰台,Fengtai
通州,Tongzhou
昌平,Changping
大兴,Daxing
房山,Fangshan
延庆,Yanqing
密云,Miyun
门头沟,Mentougou
顺义,Shunyi
怀柔,Huairou
平谷,Pinggu
燕郊,Yanjiao
北京周边,Periphery of Beijing
江北,Jiangbei
渝北,Yubei
南岸,Nanan
渝中,Yuzhong
九龙坡,Jiulongpo
沙坪坝,Shapingba
大渡口,Dadukou
巴南,Banan
北碚,Beibei
江津,Jiangjin
万州,Wanzhou
武隆,Wulong
涪陵,Fuling
綦江,Qijiang
合川,Hechuan
长寿,longevity
其他区县,Others
其他省市旅游地产,Tourism real estate in other provinces and cities
浦东,Pudong
徐汇,Xuhui
闵行,Minhang
长宁,Changning
普陀,Putuo
宝山,Baoshan
虹口,Hongkou
松江,Songjiang
闸北,Zhabei
黄浦,Huangpu
静安,Jingan
杨浦,Yangpu
卢湾,Luwan
嘉定,Jiading
青浦,Qingpu
奉贤,Fengxian
金山,Jinshan
崇明,Chongming
上海周边,Perimeter of Shanghai
北辰,Beichen
东丽,toray
和平,peace
河北,Hebei
河东,Hedong
河西,Hexi
红桥,Hongqiao
津南,Jinnan
开发区,Kaifaqu
南开,Nankai
塘沽,Tanggu
西青,Xiqing
大港,Dagang
静海,Jinghai
蓟县,Jixian
武清,Wuqing
宁河,Ninghe
汉沽,Hangu
宝坻,Baodi
天津周边,Perimeter of Tianjin
中新生态城,Central and new ecological
庐阳区,luyang
包河区,Baohe
瑶海区,Yaohai
蜀山区,Shushan
高新区,Gaoxin
新站区,Xinzhan
经开区,Jingkai
政务区,Government
滨湖新区,Binhu
合肥周边,Perimeter of Hefei
巢湖市,Chaohu
镜湖区,Jinghu
弋江区,Yijiang
鸠江区,Jiujiang
三山区,sanshan
芜湖县,Wuhu
繁昌县,Fanchang
南陵县,Nanling
开发区,Kaifaqu
无为县,Wuwei
宣州区,xuanzhou
郎溪县,Langxi
广德县,Guangde
泾县,Jingxian
绩溪县,Jixi
旌德县,Jingde
宁国市,Ningguo
埇桥区,Yongqiao
砀山县,Dangshan
萧县,Xiaoxian
灵璧县,Lingbi
泗县,Sixian
铜官山区,Tongguanshan
狮子山区,Shizishan
经济开发区,economic development zone
铜陵县,Tongling
郊区,Suburb
当涂县,Dangtu
花山区,Huashan
雨山区,Yushan
金家庄,Jinjiazhuang
开发区,Kaifaqu
佳山,Jiashan
向山,Xiangshan
慈湖,Cihu
金安区,Jinan
裕安区,yu'an
霍邱县,Huoqiu
舒城县,Shucheng
金寨县,Jinzhai
霍山县,Huoshan
屯溪区,Tunxi
黄山区,huangshan
徽州区,Huizhou
歙县,Shexian
休宁县,Xiuning
黟县,Yixian
祁门县,Qimen
田家庵,Tianjiaan
大通,chase
谢家集,Xiejiaii
八公山,Bagongshan
凤台,Fengtai
潘集,Panii
毛集实验区,Mao Ji experimentation area
经济开发区,economic development zone
寿县,Shouxian
杜集区,Duji
相山区,Xiangshan
烈山区,Lieshan
濉溪县,Suixi
颍州区,Yingzhou
颍泉区,Yingquan
颍东区,Yingdong
经济开发区,economic development zone
城南新区,Chengnan
界首,Boundary
阜南,Funan
太和,Taihe
颍上,Yingshang
临泉,Linquan
琅琊区,Langya
南谯区,Nanqiao
明光市,Mingguang
全椒县,Quanjiao
来安县,Laian
凤阳县,Fengyang
定远县,Dingyuan
天长市,tianchang
滁州周边,Perimeter of Chuzhou
贵池区,Guichi
青阳县,Qingyang
东至县,Dongzhi
石台县,Shitai
居巢区,juchao
庐江县,Lujiang
含山县,Hanshan
无为县,Wuwei
和县,Harmony
谯城区,Qiaocheng
涡阳县,Guyang
蒙城县,Mengcheng
利辛县,Lixin
蚌山,bengshan
龙子湖,Longzihu
禹会,Yuhui
淮上,Huaihuai
新城区,New urban area
怀远,Huaiyuan
五河,Wuhe
固镇,Guzhen
迎江区,yingjiang
大观区,Daguan
宜秀区,Yixiu
怀宁县,Huaining
枞阳县,Zongyang
潜山县,Qianshan
太湖县,Taihu
宿松县,Susong
望江县,Wangjiang
岳西县,Yuexi
桐城市,Tongcheng
鼓楼,Gulou
仓山,Cangshan
晋安,Jinan
马尾,Ponytail
闽侯县,Minhou
台江,Taijiang
长乐市,Changle
平潭县,Pingtan
福清,Fuqing
永泰,Yongtai
罗源,Luoyuan
连江,Lianjiang
海沧,Haicang
湖里,Lake
集美,Jimei
思明,Thinking
同安,Tongan
翔安,Xiangan
漳州,Zhangzhou
泉州,Quanzhou
龙岩,Longyan
芗城区,Xiangcheng
龙文区,Longwen
龙海市,Longhai
漳浦县,Zhangpu
平和县,Pinghe
东山县,Dongshan
长泰县,Changtai
华安县,Huaan
诏安县,Zhaoan
云霄县,Yunxiao
南靖县,Nanjing
永安市,Yongan
三元区,Sanyuan
梅列区,Meilie
沙县,Shaxian
建宁县,Jianning
尤溪县,Youxi
明溪县,Mingxi
清流县,Qingliu
宁化县,Ninghua
大田县,Datian
泰宁县,Taining
将乐县,Kwanle
丰泽,Abundance
泉港,Quangang
惠安,Huian
永春,Yongchun
德化,Dehua
金门,Jinmen
洛江,Luojiang
晋江市,Jinjiang
鲤城,Licheng
安溪县,Anxi
石狮市,Shishi
其他,Other
市中心片区,Downtown area
城东片区,East part of Chengdu
城南片区,Southern section of Chengdu
城北片区,Northern part of the
仙游县,Xianyou
涵江区,Hanjiang
秀屿区,Xiuyu
黄石,Huangshi
西天尾,Xitian
城厢区,Chengxiang
荔城区,licheng
东侨区,Dongqiao
蕉城区,Jiaocheng
福安市,Fu'an
福鼎市,fuding
霞浦县,Xiapu
古田县,Gutian
柘荣县,Zherong
周宁县,Zhouning
屏南县,Pingnan
寿宁县,Shouning
延平区,yanping
建阳区,Jianyang
武夷山,Wuyishan
建瓯市,Jianou
邵武市,shaowu
政和县,Zhenghe
顺昌县,Shunchang
松溪县,Songxi
蒲城县,Pucheng
光泽县,Luster
新罗区,xinluo
永定县,Yongding
上杭县,Shanghang
武平县,Wuping
长汀县,Changting
连城县,Liancheng
漳平市,Zhangping
城关,Chengguan
七里河,Qilihe
安宁,Anning
西固,Xigu
新区,Xinqu
兰州周边,Perimeter of Lanzhou
凉州区,Liangzhou
民勤县,Minqin
古浪县,Gulang
天祝藏族自治县,Tianzhu Tibetan Autonomous
西峰区,Xifeng
庆城县,Qingcheng
环县,Ring
华池县,Huachi
合水县,Huishui
正宁县,Zhengning
宁县,Ning
镇原县,Zhenyuan
秦州区,Qinzhou
麦积区,Maiji
清水县,Qingshui
秦安县,Qinan
甘谷县,Gangu
武山县,Wushan
张家川县,Zhangjiachuan
肃州区,Suzhou
敦煌市,Dunhuang
瓜州县,Guzhou
金塔县,Jinta
玉门市,Yumen
肃北蒙古族自治县,Subei Mongolian Autonomous
阿克塞哈萨克族自治县,Akse Kazakh Autonomous
肃南裕固族自治县,Sunan Yugur Autonomous
甘州区,Ganzhou
民乐县,Minle
临泽县,Linze
高台县,Gaotai
山丹县,Shandan
白银区,baiyin
平川区,Pingchuan
靖远县,Jingyuan
会宁县,Huining
景泰县,Jingtai
白云,Baiyun
番禺,Panyu
海珠,Haizhu
花都,Huadu
黄埔,Whampoa
荔湾,Liwan
南沙,Nansha Islands
天河,Tianhe
越秀,Yuexiu
增城,Zengcheng
从化,Conghua
佛山,Foshan
清远,Qingyuan
江门,Jiangmen
肇庆,Zhaoqing
韶关,Shaoguan
中山,Zhongshan
惠州,Huizhou
东莞,Dongguan
阳江,Yangjiang
河源,Heyuan
海外,overseas
云浮,Yunfu
珠海,Zhuhai
湛江,Zhanjiang
广西,Guangxi
罗湖,Luohu
福田,Fukuda
南山,Nanshan
盐田,Yantian
宝安,Baoan
龙岗,Longgang
光明新区,Guangming
龙华新区,Longhua
坪山新区,Pingshan
大鹏新区,Dapeng
东莞,Dongguan
惠州,Huizhou
中山,Zhongshan
珠海,Zhuhai
其他,Other
广州,Guangzhou
河源,Heyuan
佛山,Foshan
清远,Qingyuan
江门,Jiangmen
肇庆,Zhaoqing
香港,Hong Kong
汕尾,Shanwei
惠阳,Huiyang
惠东,Huidong
新圩,Xinwei
博罗,Boluo
惠城区,huicheng
大亚湾,Dayawan
龙门,Longmen
仲恺,Zhongkai
深圳,Shenzhen
佛山,Foshan
珠海,Zhuhai
中山,Zhongshan
其他,Other
长安,Changan
中山,Zhongshan
常平,Changping
清溪镇,Qingxi
黄江,Huangjiang
大朗,Dalang
大岭山,Dalingshan
东城区,Dongcheng
凤岗,Fenggang
莞城,Guancheng
厚街,Thick
虎门镇,Humen
茶山,Teashan
寮步镇,Liaobu
南城区,Nancheng
石龙,Shilong
松山湖,Songshanhe
望牛墩,Wangniudun
塘厦,Tangxia
万江,Wanjiang
樟木头,Zhangmu
中堂,Zhongtang
其他,Other
广州,Guangzhou
珠海,Zhuhai
江门,Jiangmen
香洲,Xiangzhou
斗门,Doumen
金湾,Jinwan
高新区,Gaoxin
坦洲,Tanzhou
南朗,Nant
横琴,Hengqin
中山,Zhongshan
江门,Jiangmen
南海区,Nanhai
顺德区,Shunde
三水区,sanshui
高明区,Gaoming
禅城区,Chancheng
广州,Guangzhou
清远,Qingyuan
江门,Jiangmen
肇庆,Zhaoqing
中山,Zhongshan
惠州,Huizhou
东莞,Dongguan
阳江,Yangjiang
河源,Heyuan
韶关,Shaoguan
云浮,Yunfu
珠海,Zhuhai
湛江,Zhanjiang
东区,Dongqu
南区,Nanqu
珠海,Zhuhai
西区,Xiqu
石岐区,Shiqi
南头镇,Nantou
古镇镇,Guzhen
东凤镇,Dongfeng
小榄镇,Xiaolan
黄圃镇,Huangpu
三角镇,Sanjiao
民众镇,Minzhong
阜沙镇,Fusha
火炬区,Huoju
港口,Port
东升镇,Dongsheng
横栏镇,Railing
沙溪镇,Shaxi
大涌镇,Dachong
板芙镇,Banfu
五桂山镇,Wuguishan
南朗镇,Nanlang
三乡镇,Sanxiang
神湾镇,Shenwan
坦洲镇,Tanzhou
东莞,Dongguan
佛山,Foshan
清远,Qingyuan
惠州,Huizhou
江门,Jiangmen
端州,Duanzhou
高要,Gao Yao
鼎湖,Dinghu
四会,Sihui
大旺区,Dawang
广宁,Guangning
封开,Fengkai
德庆,Deqin
怀集,Huaiji
开发区,Kaifaqu
霞山,Xiashan
赤坎,Chikan
坡头,Slope
麻章,Hemp
廉江,Lianjiang
遂溪,Suixi
雷州,Leizhou
吴川,Wuchuan
徐闻,Xuwen
其他,Other
新兴县,Xinxing
云城区,yuncheng
郁南县,Yunan
云安县,Yun'an
罗定市,Luoding
江城区,jiangcheng
阳东县,Yangdong
阳春市,Yangchun
阳西县,yangxi
海陵岛,Hailing
高新区,Gaoxin
武江区,wujiang
浈江区,Zhenjiang
曲江区,Qujiang
乳源瑶族自治县,Ruyuan Yao Autonomous
乐昌市,lechang
城区,Chengqu
海丰县,Haifeng
陆河县,luhe
陆丰市,Lufeng
金平,Jinping
龙湖,Longhu
濠江,Haojiang
澄海,Chenghai
潮阳,Chaoyang
潮南,Chaonan
南澳,Nanao
清城区,Qingcheng
清新区,Qingxin
英德,British German
佛冈,Fogang
阳山,Yangshan
连州,Lianzhou
连南,Liannan
连山,Lianshan
梅江,Meijiang
梅县,Meixian
大埔,Taipo
丰顺,Fengshun
五华,Wuhua
平远,Pingyuan
蕉岭,Jiaoling
兴宁,Xingning
茂南,Maonan
电白,White
高州,Gaozhou
化州,Huazhou
信宜,Xinyi
其他,Other
榕城区,Rongcheng
揭东区,Jiedong
揭西县,Jiexi
惠来县,Huilai
普宁市,Puning
蓬江区,Pengjiang
江海区,jianghai
新会区,xinhui
鹤山市,Heshan
台山市,Taishan
开平市,Kaiping
恩平市,Enping
源城区,Yuancheng
紫金县,Zijin
龙川县,Longchuan
连平县,Lian Ping
青秀,Qingxiu
西乡塘,XiXiangTang
江南,South of the Yangtze River
兴宁,Xingning
良庆,Liangqing
邕宁,Yongning
北海市,Beihai
钦州市,Qinzhou
防城港,Port of Fangcheng
秀峰区,Xiufeng
叠彩区,Diecai
象山区,Xiangshan
七星区,Qixing
临桂新区,Lingui
灵川,Lingchuan
雁山,Yanshan
桂林周边,The periphery of the Guilin
港南区,Gangnan
港北区,Gangbei
覃塘区,Qintang
桂平,Guiping
平南,Pingnan
其他,Other
玉州区,Yuzhou
江南区,Jiangnan
玉东区,Yudong
福绵区,Fumian
北流市,Beiliu
陆川县,Luchuan
博白县,Bobai
兴业县,Xingye
容县,Rongxian
万秀区,Wanxiu
蝶山区,Dieshan
长洲区,Changzhou
苍梧县,Cangwu
藤县,Tengxian
蒙山县,Mengshan
岑溪市,cenxi
钦南区,Qinnan
钦北区,Qinbei
灵山县,Lingshan
河东新区,Hedong
钦州港,Qinzhougang
浦北县,Pubei
城中,Chengzhong
鱼峰,Yufeng
柳南,Liunan
柳北,Liubei
柳东,Liudong
柳江,Liujiang
其它,Other
八步区,Babu
平桂管理区,Guangxi management area
昭平县,Zhaoping
钟山县,Zijinshan
富川瑶族自治县,Fuchuan Yao Autonomous
金城江区,Jinchengjiang
南丹县,Nandan
天峨县,Tiane
凤山县,Fengshan
东兰县,Donglan
罗城仫佬族自治县,Luocheng Mulao Autonomous
环江毛南族自治县,Huanjiang Maonan Autonomous
巴马瑶族自治县,Bama
都安瑶族自治县,Du'an Yao Autonomous
大化瑶族自治县,dahua
宜州市,Yizhou
港口,Gangkou
防城,Fangcheng
上思,Think
东兴,Dongxing
防城周边,Other
全防城港,Fangchenggang
海城区,Haicheng
银海区,Yinhai
铁山港,Tieshangang
合浦县,Hepu
其他区县,Others
白云,White clouds
花溪,Huaxi
观山湖,Lake Guan Shan
南明,Southern Ming
清镇,Qingzhen
乌当,Wudang
小河,Xiaohe
云岩,Dolomite
其他,Other
汇川区,Huichuan
红花岗区,honghuagang
遵义县,Zunyi
仁怀市,Renhuai
江口县,Jiangkou
石阡县,Shiqian
思南县,Sinan
德江县,Dejiang
沿河县,Yanhe
碧江区,Bijiang
万山区,Wanshan
玉屏县,Yuping
印江县,Yinjiang
松桃县,Songtao
都匀市,Tuyun
福泉市,fuquan
荔波县,Libo
贵定县,Guiding
瓮安县,Weng an
独山县,DuShan
平塘县,Ping Tang
罗甸县,Luodian
长顺县,Chang Shun
龙里县,Longli
惠水县,Huishui
三都县,Sandu
凯里市,Kaili
黄平县,Huang Ping
镇远县,Zhenyuan
三穗县,Sansui
台江县,Taijiang
剑河县,Jianhe
岑巩县,Cengong
锦屏县,Jinping
从江县,Congjiang
榕江县,Rongjiang
黎平县,Liping
丹寨县,Danzhai
天柱县,Tianzhu
麻江县,Majiang
雷山县,Leishan
施秉县,Shibing
黔东南周边,Perimeter of Qiandongnan
全黔东南,All Qiandongnan
钟山区,Zhongshan
六枝特区,Six special economic zones
水城县,Shuicheng
盘县,Panxian
红桥新区,Hongqiao
双水新区,Shuangshui
德坞新区,Dewu
凤凰新区,Fenghuang
大方县,Dafang
黔西县,Qianxi
织金县,Zhijin
纳雍县,Nayong
赫章县,Hezhang
七星关区,Qixingguan
金沙县,Jinsha
威宁彝族回族苗族自治,The Miao autonomy of the Hui nationality of the Yi people of Weining
西秀区,Xixiu
平坝县,Pingba
普定县,Puding
安顺周边,Perimeter of Anshun
关岭区,Guanling
紫云区,Ziyun
镇宁区,Zhenning
贵安新区,Guian
开发区,Kaifaqu
兴义市,Xingyi
兴仁县,Xingren
普安县,Puan
晴隆县,Qinglong
贞丰县,Zhenfeng
望谟县,Wangmo
册亨县,Ceheng
安龙县,Anlong
黔西南周边,The periphery of southwestern Guizhou
海口,Haikou
三亚,Sanya
澄迈,Chengmai
陵水,Lingshui
儋州,Danzhou
琼海,Qionghai
万宁,Wanning
文昌,Wenchang
临高,Lingao
东方,Dongfang
五指山,Wuzhishan
保亭,Baoting
定安,Dingan
乐东,Ledong
屯昌,Tuenchang
白沙,Baisha
昌江,Changjiang
琼中,Joan
其他,Other
嘉积镇,Jiaji
万泉镇,Quanzhen
石壁镇,Shibi
中原镇,Zhongyuan
博鳌镇,Boao
阳江镇,Yangjiang
琼海周边,Perimeter of Qionghai
桥西,Qiaqiao
裕华,Yuhua
新华,Xinhua
长安,Changan
开发区,Kaifaqu
鹿泉,Luquan
正定,Zhengding
栾城,Luancheng
藁城,Gaocheng
平山,Pingshanshan
晋州,Jinzhou
辛集,Xinji
石家庄周边,Perimeter of Shijiazhuang
北戴河,Peitaiho
昌黎县,Changli
抚宁县,Funing
海港,seaport
卢龙县,Lulong
青龙县,Qinglong
山海关,Shanhaiguan
开发区,Kaifaqu
丰南,Fengnan
丰润,Fengrun
古冶,Guye
开平,Kaiping
路北,Lubei
路南,Lunan
滦县,Luanxian
迁安市,Qian'an
遵化市,Zunhua
玉田县,Yutian
唐海县,Tanghai
乐亭县,Leting
迁西县,Qianxi
滦南县,Luannan
高新区,Gaoxin
汉沽管理区,Hangu management area
海港开发区,Seaport Development Zone
芦台开发区,Lutai Development Zone
南堡开发区,Nanpu Development Zone
曹妃甸新区,Caofeidian
桥东区,Qiaodong
桥西区,Qiaoxi
高新区,Gaoxin
下花园区,Lower garden area
宣化,Xuanhua
张北,Zhangbei
沽源,Guyuan
怀来,Huailai
涿鹿,Zhuolu
崇礼,Chongli
康保,Health insurance
蔚县,Weixian
尚义,love uprightness
阳原,Yangyuan
万全,Wanquan
怀安,Huai'an
赤城,Akagi
金港,Jingang
凤凰,Fenghuang
其他乡镇,Others
桥东区,Qiaodong
桥西区,Qiaoxi
邢台县,Xingtai
临城县,Lincheng
内丘县,Neiqiu
柏乡县,Baixiang
隆尧县,Longyao
任县,Renxian
南和县,Nanhe
宁晋县,Ningjin
巨鹿县,Julu
新河县,Xinhe
广宗县,Guangzong
平乡县,Pingxiang
威县,Weixian
清河县,Qinghe
临西县,Linxi
南宫市,nangong
沙河市,shahe
开发区,Kaifaqu
燕郊,Yanjiao
安次,Anci
广阳,Guangyang
三河,Sanhe
霸州,Bazhou
香河,Xianghe
永清,Yongqing
固安,Guan
文安,Wen'an
大城,Big
大厂,Dachang
开发区,Kaifaqu
桃城区,Taocheng
深州市,Shenzhou
冀州市,Jizhou
安平县,Anping
故城县,Gucheng
阜城县,Fucheng
景县,Jingxian
枣强县,Zaoqiang
武强县,Wuqiang
饶阳县,Raoyang
开发区,Kaifaqu
武邑县,Wuyi
郊区,Suburb
高开区,Gaojingkai
丛台区,Congtai
邯山区,Hanshan
复兴区,Fuxing
邯郸县,Handan
武安市,Wuan
峰峰矿区,Fengfeng Danqu
永年县,Yongnian
成安县,Cheng An
磁县,Cixian
临漳县,Linzhang
大名县,Daming
魏县,Weixian
邱县,Qiuxian
涉县,Shexian
肥乡县,Feixiang
曲周县,Quzhou
鸡泽县,Jize
广平县,Guangping
馆陶县,Guantao
双桥区,Shuangqiao
双滦区,shuangluan
开发区,Kaifaqu
围场县,Paddock
丰宁县,Fengning
兴隆县,Xinglong
平泉县,Pingquan
承德县,Chengde
营子区,Yingzi
隆化县,Longhua
宽城县,Kuancheng
滦平县,Luanping
运河区,Canal area
新华区,Xinhua
开发区,Kaifaqu
任丘市,Renqiu
黄骅市,Huanghua
河间市,Hejian
泊头市,Botou
沧县,Cangxian
青县,Qingxian
肃宁县,Suning
吴桥县,Wuqiao
东光县,Dongguang
海兴县,Haixing
盐山县,Yanshan
献县,Xianxian
南皮县,Nanpi
渤海新区,Bohai
孟村回族自治县,Mengcun Hui Autonomous
白沟,Baigou
高新区,Gaoxin
新市区,New urban area
北市区,North
南市区,Southern
容城县,Rongcheng
安新县,Anxin
高阳县,Gaoyang
满城区,Manchu
清苑区,Qingyuan
涞水县,Laishui
望都县,Wangdu
顺平县,Shunping
定兴县,Dingxing
徐水县,Xushui
高碑店市,Gaobeidian
安国市,Anguo
涿州市,Zhuozhou
定州市,Dingzhou
保定周边,Perimeter of Baoding
金水区,jinshui
中原区,Zhongyuan
管城区,Urban area
二七区,erqi
惠济区,Huiji
郑东新区,Zhengdong New
高新区,Gaoxin
经开区,Jingkai
中牟县,Zhongmu
平原新区,Xinqu of plain
龙湖镇,Longhu
郑州周边,Perimeter of Zhengzhou
驿城区,Yicheng
西平县,Xiping
汝南县,Ru'nan
遂平县,Suiping
正阳县,Zhengyang
上蔡县,Shangcai
泌阳县,Biyang
新蔡县,Xincai
确山县,Queshan
平舆县,Pingyu
川汇区,Chuanhui
项城,Xiangcheng
商水县,Shangshui
淮阳县,Huaiyang
太康县,Taikang
鹿邑县,Luyi
西华县,Xihua
扶沟县,Fugou
沈丘县,Shenqiu
郸城县,Dancheng
魏都区,Weidu
东城区,Dongcheng
西开发区,West Development Zone
许昌县,Xuchang
许昌新区,Xuchang
长葛,Changge
禹州,Yuzhou
鄢陵,Yanling
襄城,Xiangcheng
其他,Other
浉河区,Shihe
平桥区,Pingqiao
羊山新区,Yangshan
固始县,Gushi
罗山县,Luoshan
潢川县,Huangchuan
